HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.Rank1,Answer.Rank2,Answer.Rank3,Answer.optradio,Approve,Reject
3DA79LNS591HM1E9Y1VJIJBBY193TS,3JUV1CRER4U3JRV3JYR5796BQ6RW2F,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank up to 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.05,Tue Jul 18 21:56:59 PDT 2017,9,BatchId:2876007;OriginalHitTemplateId:862366346;,120,604800,Fri Jul 28 21:56:59 PDT 2017,,,30MVJZJNHNJBAK5EUINQWAM85LSJ9M,A1YGSIQI52QT9L,Submitted,Tue Jul 18 22:03:39 PDT 2017,Tue Jul 18 22:03:50 PDT 2017,Tue Jul 25 22:03:50 PDT 2017,,,,11,0% (0/0),0% (0/0),0% (0/0),S135_012_00000020.jpg,Happiness,Surprise,Neutral,on,x,
3DA79LNS591HM1E9Y1VJIJBBY193TS,3JUV1CRER4U3JRV3JYR5796BQ6RW2F,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank up to 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.05,Tue Jul 18 21:56:59 PDT 2017,9,BatchId:2876007;OriginalHitTemplateId:862366346;,120,604800,Fri Jul 28 21:56:59 PDT 2017,,,3C2NJ6JBKBNWTQB0O703FUVB8ZON23,A36JLQOX64JY2O,Submitted,Tue Jul 18 22:08:29 PDT 2017,Tue Jul 18 22:08:33 PDT 2017,Tue Jul 25 22:08:33 PDT 2017,,,,4,0% (0/0),0% (0/0),0% (0/0),S135_012_00000020.jpg,Happiness,None,None,on,x,
3DA79LNS591HM1E9Y1VJIJBBY193TS,3JUV1CRER4U3JRV3JYR5796BQ6RW2F,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank up to 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.05,Tue Jul 18 21:56:59 PDT 2017,9,BatchId:2876007;OriginalHitTemplateId:862366346;,120,604800,Fri Jul 28 21:56:59 PDT 2017,,,3HYA4D452SPK5YYJQJHQ7PM2682F2O,A3R6KO03P9QLNO,Submitted,Tue Jul 18 22:07:36 PDT 2017,Tue Jul 18 22:08:47 PDT 2017,Tue Jul 25 22:08:47 PDT 2017,,,,71,0% (0/0),0% (0/0),0% (0/0),S135_012_00000020.jpg,Happiness,Neutral,Surprise,,,Confidence score was not indicated as required.
3DA79LNS591HM1E9Y1VJIJBBY193TS,3JUV1CRER4U3JRV3JYR5796BQ6RW2F,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank up to 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.05,Tue Jul 18 21:56:59 PDT 2017,9,BatchId:2876007;OriginalHitTemplateId:862366346;,120,604800,Fri Jul 28 21:56:59 PDT 2017,,,3Q8GYXHFEQ851JXWH0TNXQ4BT515C4,A29PZK2HTG2GRY,Submitted,Tue Jul 18 22:08:18 PDT 2017,Tue Jul 18 22:08:25 PDT 2017,Tue Jul 25 22:08:25 PDT 2017,,,,7,0% (0/0),0% (0/0),0% (0/0),S135_012_00000020.jpg,Happiness,Neutral,None,on,x,
3DA79LNS591HM1E9Y1VJIJBBY193TS,3JUV1CRER4U3JRV3JYR5796BQ6RW2F,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank up to 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.05,Tue Jul 18 21:56:59 PDT 2017,9,BatchId:2876007;OriginalHitTemplateId:862366346;,120,604800,Fri Jul 28 21:56:59 PDT 2017,,,3RU7GD8VPPZP1A4BY1S1A1DA68OPS4,A3G2NE6QE5W5R,Submitted,Tue Jul 18 22:09:00 PDT 2017,Tue Jul 18 22:09:16 PDT 2017,Tue Jul 25 22:09:16 PDT 2017,,,,16,0% (0/0),0% (0/0),0% (0/0),S135_012_00000020.jpg,Happiness,Surprise,Neutral,,,Confidence score was not indicated as required.
3DA79LNS591HM1E9Y1VJIJBBY193TS,3JUV1CRER4U3JRV3JYR5796BQ6RW2F,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank up to 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.05,Tue Jul 18 21:56:59 PDT 2017,9,BatchId:2876007;OriginalHitTemplateId:862366346;,120,604800,Fri Jul 28 21:56:59 PDT 2017,,,3U8YCDAGXQMA0DLEPCO600X1GCQQ08,A1EOVMNNT8Q370,Submitted,Tue Jul 18 22:01:57 PDT 2017,Tue Jul 18 22:02:08 PDT 2017,Tue Jul 25 22:02:08 PDT 2017,,,,11,0% (0/0),0% (0/0),0% (0/0),S135_012_00000020.jpg,Happiness,Surprise,Neutral,on,x,
3DA79LNS591HM1E9Y1VJIJBBY193TS,3JUV1CRER4U3JRV3JYR5796BQ6RW2F,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank up to 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.05,Tue Jul 18 21:56:59 PDT 2017,9,BatchId:2876007;OriginalHitTemplateId:862366346;,120,604800,Fri Jul 28 21:56:59 PDT 2017,,,3Y5140Z9DYM07W1FTPYN6Z7NXALPIB,A2S96ZZ70YFPSK,Submitted,Tue Jul 18 22:00:49 PDT 2017,Tue Jul 18 22:00:59 PDT 2017,Tue Jul 25 22:00:59 PDT 2017,,,,10,0% (0/0),0% (0/0),0% (0/0),S135_012_00000020.jpg,Happiness,Surprise,None,on,x,
3DA79LNS591HM1E9Y1VJIJBBY193TS,3JUV1CRER4U3JRV3JYR5796BQ6RW2F,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank up to 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.05,Tue Jul 18 21:56:59 PDT 2017,9,BatchId:2876007;OriginalHitTemplateId:862366346;,120,604800,Fri Jul 28 21:56:59 PDT 2017,,,3YT88D1N094K62MGVUMS6CJZKIJK36,A2653BIPJKEMRK,Submitted,Tue Jul 18 22:08:11 PDT 2017,Tue Jul 18 22:08:17 PDT 2017,Tue Jul 25 22:08:17 PDT 2017,,,,6,0% (0/0),0% (0/0),0% (0/0),S135_012_00000020.jpg,Happiness,None,None,on,x,
3DA79LNS591HM1E9Y1VJIJBBY193TS,3JUV1CRER4U3JRV3JYR5796BQ6RW2F,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank up to 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.05,Tue Jul 18 21:56:59 PDT 2017,9,BatchId:2876007;OriginalHitTemplateId:862366346;,120,604800,Fri Jul 28 21:56:59 PDT 2017,,,3Z7EFSHGNAKE32H6N6CIP9VVM4ACXK,A2N8SNKVU4M1MB,Submitted,Tue Jul 18 22:00:58 PDT 2017,Tue Jul 18 22:01:44 PDT 2017,Tue Jul 25 22:01:44 PDT 2017,,,,46,0% (0/0),0% (0/0),0% (0/0),S135_012_00000020.jpg,Happiness,Neutral,Surprise,on,x,
38LRF35D5L2WMETYY6LTNFXDHFG3UJ,3JUV1CRER4U3JRV3JYR5796BQ6RW2F,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank up to 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.05,Tue Jul 18 21:56:59 PDT 2017,9,BatchId:2876007;OriginalHitTemplateId:862366346;,120,604800,Fri Jul 28 21:56:59 PDT 2017,,,33CID57105ZVQ84YGUYTLCWE9IO3LS,A3SOZYQZWJOOYS,Submitted,Tue Jul 18 22:05:22 PDT 2017,Tue Jul 18 22:06:31 PDT 2017,Tue Jul 25 22:06:31 PDT 2017,,,,69,0% (0/0),0% (0/0),0% (0/0),S062_001_00000017.jpg,Disgust,Fear,Surprise,on,x,
38LRF35D5L2WMETYY6LTNFXDHFG3UJ,3JUV1CRER4U3JRV3JYR5796BQ6RW2F,Label the Facial Expression in the Image,"Given a face expressing a certain emotion, rank up to 3 of the most likely emotions being expressed.","image, tag, picture, tagging, photo, different, emotion, facial expression, machine learning",$0.05,Tue Jul 18 21:56:59 PDT 2017,9,BatchId:2876007;OriginalHitTemplateId:862366346;,120,604800,Fri Jul 28 21:56:59 PDT 2017,,,33OOO72IVIR7ML8MIWBL06AP98MCT1,A1SZSFNHA2CWSQ,Submitted,Tue Jul 18 22:00:22 PDT 2017,Tue Jul 18 22:01:14 PDT 2017,Tue Jul 25 22:01:14 PDT 2017,,,,52,0% (0/0),0% (0/0),0% (0/0),S062_001_00000017.jpg,Surprise,Fear,Sadness,on,x,
