image_url,crowdemotion1,crowdemotion2,crowdemotion3
S135_012_00000020.jpg,Happiness,Neutral,Surprise
S135_012_00000020.jpg,Happiness,Surprise,Neutral
S062_001_00000017.jpg,Neutral,Sadness,Anger
S062_001_00000017.jpg,Surprise,Anger,None
S062_001_00000017.jpg,Neutral,None,None
S117_001_00000014.jpg,Surprise,Fear,Disgust
S117_001_00000014.jpg,Fear,None,None
S117_001_00000014.jpg,Fear,Surprise,Neutral
S101_002_00000019.jpg,Anger,Sadness,None
S126_004_00000012.jpg,Surprise,Happiness,Disgust
S126_004_00000012.jpg,Fear,Sadness,Disgust
S126_004_00000012.jpg,Anger,None,None
S098_003_00000013.jpg,Sadness,None,None
S134_008_00000013.jpg,Sadness,None,None
S102_003_00000016.jpg,Happiness,Surprise,Sadness
S102_003_00000016.jpg,Disgust,None,None
S102_003_00000016.jpg,Anger,Disgust,Sadness
S102_003_00000016.jpg,Anger,None,None
S102_003_00000016.jpg,Disgust,Anger,Neutral
S026_003_00000015.jpg,Disgust,Happiness,None
S133_003_00000047.jpg,Surprise,Happiness,None
S133_003_00000047.jpg,Sadness,Anger,Fear
S133_003_00000047.jpg,Fear,Disgust,Sadness
S086_001_00000019.jpg,Fear,None,None
S069_004_00000017.jpg,Happiness,None,None
S014_003_00000030.jpg,Sadness,Happiness,None
S014_003_00000030.jpg,Sadness,None,None
S014_003_00000030.jpg,Disgust,Sadness,None
S055_006_00000008.jpg,Disgust,None,None
S055_006_00000008.jpg,Disgust,Surprise,Neutral
S055_006_00000008.jpg,Neutral,Disgust,Sadness
S055_006_00000008.jpg,Disgust,Surprise,Anger
S055_006_00000008.jpg,Surprise,Disgust,Neutral
S055_006_00000008.jpg,Anger,None,None
S055_006_00000008.jpg,Sadness,None,None
S124_007_00000024.jpg,Happiness,Neutral,Surprise
S124_007_00000024.jpg,Happiness,Surprise,Neutral
S124_007_00000024.jpg,Happiness,Surprise,Neutral
S117_006_00000010.jpg,Disgust,Sadness,Neutral
S117_006_00000010.jpg,Disgust,Neutral,None
S117_006_00000010.jpg,Surprise,Happiness,None
S117_006_00000010.jpg,Sadness,None,None
S116_001_00000014.jpg,Neutral,None,None
S116_001_00000014.jpg,Anger,Disgust,Fear
S116_001_00000014.jpg,Disgust,Sadness,Fear
S037_006_00000021.jpg,Happiness,Surprise,Neutral
S034_003_00000027.jpg,Disgust,Anger,Fear
S034_003_00000027.jpg,Sadness,Anger,Fear
S062_005_00000029.jpg,Neutral,Sadness,Fear
S062_005_00000029.jpg,Neutral,Sadness,None
S062_005_00000029.jpg,Sadness,None,None
S062_005_00000029.jpg,Sadness,None,None
S109_005_00000014.jpg,Sadness,Anger,Happiness
S109_005_00000014.jpg,Sadness,None,None
S109_005_00000014.jpg,Anger,Disgust,Surprise
S105_008_00000010.jpg,Sadness,Surprise,None
S105_008_00000010.jpg,Anger,Sadness,Fear
S105_008_00000010.jpg,Anger,Sadness,Fear
S105_008_00000010.jpg,Anger,None,None
S073_006_00000014.jpg,Sadness,Fear,Disgust
S073_006_00000014.jpg,Sadness,None,None
S073_006_00000014.jpg,Anger,None,None
S014_001_00000029.jpg,Surprise,Anger,Happiness
S058_005_00000010.jpg,Anger,Surprise,Sadness
S059_001_00000018.jpg,Fear,None,None
S059_001_00000018.jpg,Fear,None,None
S061_004_00000022.jpg,Sadness,None,None
S061_004_00000022.jpg,Anger,Surprise,Sadness
S061_004_00000022.jpg,Sadness,Fear,Neutral
S114_001_00000018.jpg,Disgust,Anger,None
S114_001_00000018.jpg,Fear,None,None
S066_003_00000012.jpg,Happiness,Surprise,Fear
S071_005_00000021.jpg,Happiness,Surprise,Neutral
S071_005_00000021.jpg,Happiness,Neutral,None
S022_005_00000032.jpg,Disgust,None,None
S022_005_00000032.jpg,Sadness,Neutral,None
S022_005_00000032.jpg,Surprise,Neutral,None
S035_005_00000019.jpg,Neutral,None,None
S138_004_00000013.jpg,Fear,Sadness,Anger
S138_004_00000013.jpg,Anger,Sadness,Fear
S124_003_00000011.jpg,Disgust,Anger,None
S124_003_00000011.jpg,Anger,Disgust,None
S124_003_00000011.jpg,Disgust,None,None
S133_010_00000014.jpg,Happiness,Surprise,Neutral
S130_001_00000018.jpg,Disgust,Surprise,Fear
S130_001_00000018.jpg,Anger,None,Sadness
S130_001_00000018.jpg,Fear,Sadness,None
S088_004_00000020.jpg,Neutral,None,None
S054_002_00000015.jpg,Disgust,Surprise,Sadness
S054_002_00000015.jpg,Anger,Disgust,None
S054_002_00000015.jpg,Disgust,None,None
S054_002_00000015.jpg,Anger,Disgust,Sadness
S054_002_00000015.jpg,Disgust,None,None
S054_002_00000015.jpg,Disgust,None,None
S045_004_00000015.jpg,Sadness,Fear,None
S045_004_00000015.jpg,Sadness,Disgust,Anger
S073_001_00000013.jpg,Surprise,Happiness,None
S073_001_00000013.jpg,Anger,Surprise,Disgust
S014_005_00000017.jpg,Happiness,Surprise,Neutral
S086_002_00000015.jpg,Happiness,Surprise,Neutral
S111_007_00000014.jpg,Sadness,None,None
S111_007_00000014.jpg,Neutral,Anger,Fear
S111_007_00000014.jpg,Sadness,Anger,None
S111_007_00000014.jpg,Disgust,Neutral,None
S107_001_00000010.jpg,Surprise,Disgust,Fear
S107_001_00000010.jpg,Fear,Neutral,None
S506_001_00000040.jpg,Anger,None,Sadness
S506_001_00000040.jpg,Disgust,Sadness,None
S131_010_00000018.jpg,Sadness,Neutral,Fear
S131_010_00000018.jpg,Sadness,None,None
S131_010_00000018.jpg,Surprise,Sadness,Fear
S028_001_00000024.jpg,Sadness,Neutral,Disgust
S130_013_00000015.jpg,Happiness,Surprise,Neutral
S054_004_00000024.jpg,Disgust,Anger,Neutral
S054_004_00000024.jpg,Sadness,None,None
S054_004_00000024.jpg,Anger,None,Sadness
S116_006_00000007.jpg,Sadness,Neutral,None
S116_006_00000007.jpg,Anger,Surprise,None
S116_006_00000007.jpg,Anger,Neutral,Fear
S074_001_00000020.jpg,Neutral,Anger,Sadness
S074_001_00000020.jpg,Disgust,Sadness,None
S074_001_00000020.jpg,Surprise,Anger,None
S074_001_00000020.jpg,Happiness,Neutral,Surprise
S074_001_00000020.jpg,Neutral,Anger,Sadness
S074_001_00000020.jpg,Anger,Sadness,Fear
S067_006_00000011.jpg,Sadness,Disgust,Fear
S067_006_00000011.jpg,Anger,Sadness,None
S067_006_00000011.jpg,Anger,Surprise,Sadness
S070_005_00000016.jpg,Sadness,None,None
S070_005_00000016.jpg,Anger,Sadness,Disgust
S070_005_00000016.jpg,Sadness,Anger,Fear
S070_005_00000016.jpg,Sadness,Neutral,Anger
S137_011_00000020.jpg,Happiness,Surprise,None
S137_011_00000020.jpg,Happiness,None,None
S063_002_00000023.jpg,Happiness,Surprise,None
S058_006_00000018.jpg,Sadness,Fear,Neutral
S058_006_00000018.jpg,Sadness,None,None
S058_006_00000018.jpg,Sadness,Neutral,Disgust
S052_006_00000013.jpg,Fear,Disgust,Sadness
S052_006_00000013.jpg,Sadness,Anger,None
S116_007_00000017.jpg,Happiness,Surprise,Neutral
S051_003_00000018.jpg,Anger,Neutral,Fear
S051_003_00000018.jpg,Anger,Disgust,Sadness
S504_001_00000022.jpg,Sadness,Fear,Disgust
S504_001_00000022.jpg,Anger,Sadness,Fear
S504_001_00000022.jpg,Disgust,None,None
S136_005_00000010.jpg,Sadness,None,None
S136_005_00000010.jpg,Sadness,Neutral,None
S136_005_00000010.jpg,Sadness,Disgust,Surprise
S076_005_00000012.jpg,Surprise,Anger,None
S076_005_00000012.jpg,Anger,Sadness,Neutral
S067_004_00000023.jpg,Surprise,Disgust,None
S067_004_00000023.jpg,Anger,Disgust,None
S067_004_00000023.jpg,Surprise,None,None
S066_004_00000010.jpg,Sadness,Fear,None
S011_003_00000014.jpg,Anger,None,None
S011_003_00000014.jpg,Surprise,None,None
S079_004_00000026.jpg,Happiness,Surprise,Neutral
S079_004_00000026.jpg,Happiness,Sadness,Neutral
S091_001_00000015.jpg,Surprise,Happiness,Sadness
S091_001_00000015.jpg,Anger,Fear,Sadness
S091_001_00000015.jpg,Anger,None,None
S091_001_00000015.jpg,Fear,Disgust,None
S129_006_00000010.jpg,Disgust,None,None
S129_006_00000010.jpg,Neutral,Happiness,None
S129_006_00000010.jpg,Neutral,None,None
S129_006_00000010.jpg,Neutral,None,None
S129_006_00000010.jpg,Surprise,None,None
S129_006_00000010.jpg,Neutral,Happiness,Surprise
S106_004_00000008.jpg,Neutral,Sadness,Fear
S106_004_00000008.jpg,Fear,None,Sadness
S106_004_00000008.jpg,Sadness,Disgust,Fear
S501_004_00000056.jpg,Surprise,None,None
S501_004_00000056.jpg,Fear,Sadness,Anger
S501_004_00000056.jpg,Disgust,None,None
S055_003_00000009.jpg,Neutral,Fear,None
S057_001_00000019.jpg,Surprise,Neutral,None
S057_001_00000019.jpg,Fear,Anger,Disgust
S057_001_00000019.jpg,Disgust,Surprise,Neutral
S130_009_00000019.jpg,Disgust,Neutral,Anger
S130_009_00000019.jpg,Surprise,Anger,None
S092_004_00000024.jpg,Neutral,None,None
S092_004_00000024.jpg,Neutral,Happiness,None
S082_007_00000010.jpg,Disgust,Anger,Sadness
S082_007_00000010.jpg,Sadness,None,None
S074_004_00000018.jpg,Anger,Surprise,Sadness
S074_004_00000018.jpg,Sadness,Anger,Fear
S074_004_00000018.jpg,Anger,None,None
S055_005_00000045.jpg,Happiness,Surprise,None
S044_001_00000024.jpg,Fear,Sadness,Neutral
S044_001_00000024.jpg,Disgust,Anger,None
S102_009_00000015.jpg,Sadness,Anger,Neutral
S102_009_00000015.jpg,Happiness,Neutral,Surprise
S112_005_00000017.jpg,Surprise,None,None
S112_005_00000017.jpg,Disgust,Anger,None
S112_005_00000017.jpg,Neutral,Happiness,Surprise
S014_002_00000016.jpg,Sadness,Fear,Disgust
S055_001_00000012.jpg,Surprise,Anger,Happiness
S055_001_00000012.jpg,Fear,None,None
S079_002_00000012.jpg,Sadness,Surprise,Disgust
S079_002_00000012.jpg,Anger,Sadness,None
S079_002_00000012.jpg,Anger,Surprise,Sadness
S080_005_00000013.jpg,Disgust,Anger,Fear
S080_005_00000013.jpg,Sadness,Anger,Fear
S066_002_00000022.jpg,Sadness,Disgust,Neutral
S066_002_00000022.jpg,Surprise,Anger,Neutral
S066_002_00000022.jpg,Happiness,Surprise,Neutral
S005_001_00000011.jpg,Anger,Disgust,None
S005_001_00000011.jpg,Disgust,None,None
S005_001_00000011.jpg,Disgust,None,None
S005_001_00000011.jpg,Disgust,None,None
S005_001_00000011.jpg,Anger,None,None
S005_001_00000011.jpg,Disgust,Sadness,None
S005_001_00000011.jpg,Anger,Disgust,None
S005_001_00000011.jpg,Disgust,None,None
S005_001_00000011.jpg,Anger,Disgust,None
S010_002_00000014.jpg,Surprise,None,None
S010_002_00000014.jpg,Surprise,Disgust,None
S010_002_00000014.jpg,Surprise,Sadness,None
S010_002_00000014.jpg,Surprise,Fear,None
S010_002_00000014.jpg,Anger,Surprise,None
S010_002_00000014.jpg,Surprise,Fear,None
S010_002_00000014.jpg,Surprise,Fear,Disgust
S010_002_00000014.jpg,Fear,Surprise,None
S010_002_00000014.jpg,Surprise,None,None
S010_004_00000019.jpg,Anger,Sadness,None
S010_004_00000019.jpg,Disgust,None,None
S010_004_00000019.jpg,Anger,Disgust,None
S010_004_00000019.jpg,Anger,None,None
S010_004_00000019.jpg,Disgust,Anger,Fear
S010_004_00000019.jpg,Anger,Disgust,Fear
S010_004_00000019.jpg,Sadness,Anger,Fear
S010_004_00000019.jpg,Disgust,None,None
S010_004_00000019.jpg,Anger,Disgust,Sadness
S010_006_00000015.jpg,Happiness,None,None
S010_006_00000015.jpg,Happiness,None,None
S010_006_00000015.jpg,Happiness,None,None
S010_006_00000015.jpg,Happiness,None,None
S010_006_00000015.jpg,Happiness,Surprise,Sadness
S010_006_00000015.jpg,Happiness,None,None
S010_006_00000015.jpg,Happiness,None,None
S010_006_00000015.jpg,Happiness,None,None
S010_006_00000015.jpg,Happiness,None,None
S011_001_00000016.jpg,Surprise,None,None
S011_001_00000016.jpg,Surprise,None,None
S011_001_00000016.jpg,Surprise,Disgust,Sadness
S011_001_00000016.jpg,Surprise,Fear,None
S011_001_00000016.jpg,Surprise,Disgust,Anger
S011_001_00000016.jpg,Surprise,Sadness,Fear
S011_001_00000016.jpg,Surprise,None,None
S011_001_00000016.jpg,Disgust,Surprise,None
S011_001_00000016.jpg,Surprise,None,None
S011_002_00000022.jpg,Sadness,Fear,Disgust
S011_002_00000022.jpg,Sadness,Disgust,None
S011_002_00000022.jpg,Sadness,Fear,None
S011_002_00000022.jpg,Sadness,Anger,None
S011_002_00000022.jpg,Sadness,None,None
S011_002_00000022.jpg,Sadness,Disgust,Fear
S011_002_00000022.jpg,Sadness,None,None
S011_002_00000022.jpg,Disgust,None,None
S011_002_00000022.jpg,Disgust,None,None
S011_003_00000014.jpg,Disgust,Sadness,Fear
S011_003_00000014.jpg,Fear,Sadness,Anger
S011_003_00000014.jpg,Fear,Disgust,None
S011_003_00000014.jpg,Fear,Disgust,Surprise
S011_003_00000014.jpg,Sadness,Disgust,Fear
S011_003_00000014.jpg,Sadness,Fear,Disgust
S011_003_00000014.jpg,Sadness,Anger,Fear
S011_004_00000021.jpg,Disgust,Anger,None
S011_004_00000021.jpg,Anger,Disgust,None
S011_004_00000021.jpg,Anger,None,None
S011_004_00000021.jpg,Disgust,None,None
S011_004_00000021.jpg,Anger,None,None
S011_004_00000021.jpg,Anger,Disgust,Sadness
S011_004_00000021.jpg,Anger,Fear,Sadness
S011_004_00000021.jpg,Anger,Fear,Sadness
S011_004_00000021.jpg,Anger,Disgust,None
S011_005_00000020.jpg,Anger,Disgust,Fear
S011_005_00000020.jpg,Disgust,Anger,None
S011_005_00000020.jpg,Disgust,None,None
S011_005_00000020.jpg,Anger,Disgust,Sadness
S011_005_00000020.jpg,Anger,Disgust,Surprise
S011_005_00000020.jpg,Disgust,None,None
S011_005_00000020.jpg,Disgust,Anger,None
S011_005_00000020.jpg,Anger,Disgust,None
S011_005_00000020.jpg,Disgust,Anger,Sadness
S011_006_00000013.jpg,Happiness,Surprise,None
S011_006_00000013.jpg,Happiness,None,None
S011_006_00000013.jpg,Happiness,None,None
S011_006_00000013.jpg,Happiness,None,None
S011_006_00000013.jpg,Happiness,None,None
S011_006_00000013.jpg,Happiness,None,None
S011_006_00000013.jpg,Happiness,None,None
S011_006_00000013.jpg,Happiness,Fear,None
S011_006_00000013.jpg,Happiness,Surprise,Disgust
S014_001_00000029.jpg,Happiness,Surprise,Anger
S014_001_00000029.jpg,Neutral,Surprise,Happiness
